A1,M1,V1,S1,A2,M2,V2,S2,A3,M3,V3,S3,A4,M4,V4,S4,A5,M5,V5,S5,A6,M6,V6,S6,A7,M7,V7,S7,A8,M8,V8,S8,A9,M9,V9,S9,State
-0.5125387,-0.312518,1.46827475305921,1.21172387657387,8.9591474,9.1114335,1.54901954113984,1.24459613575643,-2.52084,-2.188824,2.0155700643688,1.41970773906773,-0.1297637,-0.3432695,0.45214840227941,0.672419811040253,0.0382056,0.128096,0.25340453859324,0.50339302596802,-0.040395,0.0931295,0.1211015416474,0.34799646786627,8.3671021,9.7835235,18.3452356758157,4.2831338615336,35.1773393,34.2670595,15.3563951687984,3.91872366578691,-138.4886688,-140.473747,66.2723566464033,8.14078354007791,Walking
-0.6563554,0.0803555,1.69656024523304,1.30252072737175,10.8820206,9.3777885,22.1528846466206,4.70668510170594,-2.1559186,-1.8697215,4.22808245608084,2.05623015639807,-0.2173506,-0.3959725,0.90124653099024,0.949340050240292,0.1998394,0.3623645,0.62388405448784,0.789863313800458,-0.092821,0.0600605,0.411402639473,0.641406766001887,11.2321762,12.484726,16.778170590497,4.09611652550278,28.2311631,27.627739,15.4086849745557,3.92538978632131,-135.8763839,-136.6025775,93.7875582689637,9.68439767197546,Walking
-0.7678954,-0.1250975,6.39325574179284,2.52848882572038,10.1660496,11.373505,10.9261059793854,3.30546607596954,-2.024133,-0.9771335,6.9150289667332,2.62964426619518,0.0484442,0.0131045,1.45672188360636,1.2069473408589,-0.1452864,-0.2549315,1.36763920935684,1.16946107646079,0.1542299,0.143041,0.47719803406249,0.690795218615828,5.7328902,6.4105375,17.636321341423,4.19956204162088,26.9318451,27.280182,4.52728302276409,2.12774129601418,-134.9945435,-134.1394425,118.687021042193,10.8943573028515,Walking
0.167594,0.8148515,3.3837880671436,1.83950756104551,10.1834074,10.2304235,11.0540742525876,3.32476679672239,-1.5591041,-1.300351,4.15705859665929,2.03888660711166,0.0722281,0.0761265,1.08752406176769,1.04284421740147,-0.1518151,0.253813,1.43574338470629,1.19822509767835,0.3674645,0.231777,0.80601001276245,0.897780603913033,2.7735519,5.2348175,28.6450229287909,5.35210453268533,26.8486741,27.4297565,7.25828667168529,2.69412076041244,-139.6692291,-140.790825,174.831148298977,13.2223730207167,Walking
-0.2351106,0.214131,2.64989321421844,1.62784926028746,9.3309371,9.3287825,7.21441084762669,2.68596553358875,-1.5499014,-1.3376105,5.36121359025464,2.3154294612997,0.0704403,0.020122,1.04872582370481,1.02407315349286,-0.1001403,-0.122525,1.06639193858421,1.0326625482626,0.3018286,0.2120565,0.58586968673764,0.765421247900553,4.3393326,6.718643,18.9750024241552,4.35603058117769,26.5534759,26.9366835,9.92035651593909,3.14965974605815,-141.5365111,-142.469055,133.92040545907,11.5723984315729,Walking
0.1622073,0.762329,2.67202314834281,1.63463241994731,9.1727551,9.060557,9.50913580831549,3.08368866916158,-1.6430808,-1.11899,5.92425890512776,2.43398005438166,0.1152405,0.087107,1.25173583917525,1.11881001031241,-0.0175635,0.096792,1.64816015509025,1.28380689945578,0.3175693,0.216213,0.64399150262141,0.802490811549522,3.8581665,5.96669,18.1646310367658,4.26199847920736,25.9914032,26.688408,6.94312604159036,2.63498122224625,-137.8658339,-135.9849855,176.179122805896,13.2732483893694,Walking
-0.922022,-0.625485,5.0327554035806,2.24338035196455,9.666724,10.184859,5.5217389719952,2.34983807356916,-1.745837,-0.69993,3.5195008540774,1.87603327637795,0.0531517,-0.2626475,1.76462408685761,1.32839154124739,-0.1057271,-0.111216,1.74301940801949,1.32023460340179,0.1293933,-0.1439465,0.56500806230641,0.751670181865963,2.3617279,4.0678025,18.8514847558317,4.34182965532179,25.6519074,26.622078,3.34591405172364,1.82918398520314,-135.9516922,-135.076889,169.558651882851,13.0214688834575,Walking
-0.5639093,-0.0418985,4.15685230710821,2.03883601770918,9.2861205,9.431583,5.80277772105705,2.40889553967312,-0.8998607,-0.5767035,8.77527894340461,2.9623097311734,-0.0879182,-0.718304,1.92733378542736,1.38828447568478,0.2056984,0.532449,2.26329347276584,1.50442463179976,0.1328676,-0.099229,0.56779718210904,0.753523179543297,2.2871078,3.627815,19.9840660850068,4.47035413418297,26.0736084,27.0912015,5.36707397590164,2.3166946229276,-137.2860641,-136.3196945,149.689286575178,12.2347573157451,Walking
-1.7615341,-0.4978445,7.49580211014729,2.73784625392795,9.8059766,9.8578265,11.2178886704278,3.34931167113899,-0.6224326,-0.3805285,1.23015926021004,1.10912544836463,-0.1137825,0.016175,1.63907859963885,1.28026505054182,0.2978422,0.754719,1.42821315642096,1.19507872394289,0.0369387,-0.2139005,0.85862365424721,0.926619476509754,2.828099,4.8064345,21.3934093602806,4.62530100212739,26.4618424,27.1333695,3.47000967295564,1.86279619737524,-135.8028548,-134.2715145,145.997291413957,12.0829338909868,Walking
-1.0179845,-0.166696,5.58575078893745,2.36341930028031,10.6414931,10.7055235,9.11268806168129,3.01872291899758,-1.570327,-1.134702,2.8388895683956,1.68490046245931,0.1532971,0.313045,1.28601572947949,1.13402633544353,0.0255051,0.3120505,1.20939568012349,1.09972527484072,0.2105068,0.263713,0.60573968439996,0.77829280120014,3.8620805,6.1836625,16.7159115009955,4.08850969192877,26.4273894,27.048622,2.04231552248924,1.42909605082697,-135.0721208,-133.6304475,156.767660948531,12.5206893160293,Walking
-0.7200562,-0.3916765,2.56441167042616,1.60137805356079,10.7392365,10.969933,9.57607004896865,3.09452258821432,-1.5692346,-0.557176,4.99624085873824,2.23522724990956,0.0634244,-0.484885,2.15379952198044,1.46758288419443,-0.1049128,0.180184,2.06961772094256,1.43861659970353,0.2568236,0.2050215,0.54017381400884,0.734965178773008,3.0992477,4.632042,21.025378853106,4.58534391873783,27.126056,27.6367265,2.1156917350322,1.45454176118536,-134.067337,-133.6228105,147.298977305162,12.1366790064318,Walking
-1.6559346,-1.4618095,6.46848049305524,2.54332076094527,9.2635253,10.109367,6.53722823805441,2.55680039073339,-0.9781362,-1.184232,8.81122271977736,2.96837038116495,-0.292394,-0.66759,2.0856329269844,1.44417205587991,0.3315942,0.355564,1.62063993323996,1.27304357083328,-0.0130769,-0.1766015,0.50361925422649,0.709661365882693,3.5194701,5.341583,15.1357221003849,3.89046553774544,27.8251571,28.824989,5.43249102349349,2.33077047850995,-137.3707733,-136.0744095,174.907734518746,13.2252687881474,Walking
-1.4951788,-1.020828,3.86291219189556,1.96542926402747,10.6932079,9.6621,17.8441860289639,4.22423792286418,-1.4265104,-0.620173,7.70425297066944,2.77565361143451,-0.0286783,-0.288872,1.40159785724421,1.18389098199294,-0.1246062,0.200799,1.08885819266056,1.04348368107056,0.1427199,0.1671855,0.50865700462969,0.713201938184193,3.6433076,4.8679735,13.8051463959728,3.71552774124657,29.0334915,30.3143235,13.3708676907494,3.65661970824824,-144.5268433,-144.869499,132.729677801887,11.520836679768,Walking
-0.4799925,-0.2668785,2.06374241755565,1.43657315078476,8.7496848,9.794978,9.51141184233456,3.08405769114888,-1.5640721,-0.6484545,4.62316616901609,2.15015491744574,-0.1631545,-0.5379,1.87245899798505,1.36837823644819,-0.15355,-0.1392275,1.4557167387174,1.2065308693595,0.1390534,-0.0175315,0.42433075648924,0.651406751952449,1.637622,2.668312,16.367877767326,4.04572339233987,29.8439834,29.8734205,18.2159876518232,4.26801917191374,-148.1995148,-149.5838625,173.989195740892,13.1904964175308,Walking
-1.2100295,-0.765621,2.29311441930305,1.51430327850898,8.7927354,8.6952165,4.73432839975204,2.17585118970761,-1.353517,-1.4648775,4.8983961859818,2.21323206780984,-0.3379509,-0.679159,1.41022003717929,1.18752685745599,0.2246277,0.5178115,2.05314742132121,1.43288081197328,0.0895235,-0.1086295,0.64202213427345,0.801262837197289,1.6832747,2.7189635,11.0450896853232,3.32341536454943,28.7115143,28.985771,18.0185215665982,4.24482291345566,-151.2101411,-154.4547885,195.888166163338,13.9960053645081,Walking
-1.9601928,-1.188272,6.60721484852256,2.57045032018177,10.0661364,9.3884125,18.9881715252588,4.35754191319588,-1.5472976,-0.490437,7.78916980095864,2.79090841859038,0.0311638,-0.0370675,2.05822483274876,1.43465146734277,0.1750907,0.0392965,1.71236942677721,1.30857534241526,-0.0382249,-0.334757,0.59692807089989,0.772611202934497,1.71604,2.233963,11.392060176674,3.37521261206965,29.4537461,30.4146195,13.5070569109965,3.67519481265912,-148.9323958,-149.774292,177.806205806116,13.334399341782,Walking
-1.0392482,-0.736591,3.17348813795456,1.78142867888517,8.7962072,9.13979,13.281374378389,3.64436199881254,-1.2058696,-1.15004,6.06950053027604,2.4636356326121,-0.0773085,-0.412724,1.72654569989705,1.31398085979098,-0.1287082,0.187271,1.69334900192116,1.30128744016115,0.3466065,0.297994,0.64511348006145,0.803189566703558,0.1055161,0.478394,11.4475231620015,3.38341885701453,29.3239854,29.731018,11.4220235621598,3.37964843765736,-149.6669175,-150.776917,175.841128085139,13.2605100989796,Walking
-1.7701678,-1.5348325,4.02154857866896,2.00537990881253,10.6280108,10.775778,20.333547253811,4.50927347294561,-1.218155,-0.727089,10.922095202322,3.30485933169961,-0.0280061,-0.279039,2.63576984978769,1.62350542031362,-0.074412,-0.1617565,2.3947976071954,1.54751336252564,0.1692209,-0.0540675,0.46415177025689,0.681286848733256,-2.570511,-2.5885085,9.2413464342338,3.03995829481817,28.5354782,28.101578,16.1959995886376,4.02442537371953,-154.4278579,-156.3278885,157.999216993234,12.5697739436011,Walking
-2.2783223,-1.232939,16.4829958139716,4.05992559217181,11.2668584,10.5540895,40.863624205371,6.39246620682277,-0.4645948,-0.4060415,15.363880460189,3.91967861695177,-0.0247947,0.008163,2.33547814167261,1.52822712371971,0.0218197,0.1640065,3.17818497024121,1.78274646830143,0.0906399,0.168805,0.95405082307009,0.976755252389302,-5.0415451,-5.519386,12.1744264397883,3.48918707434673,28.2606874,28.2900775,30.4862571070168,5.52143614533545,-160.3406189,-161.722527,185.243086477669,13.6104036118577,Walking
-1.2363657,-1.134702,3.38073802984261,1.83867833778576,9.5714046,9.445649,8.85599500802044,2.9759023854993,-2.3641694,-1.9149875,3.12582470052704,1.76800019811284,0.2263904,0.004752,1.27839086432184,1.13065948203774,-0.5433708,-0.473569,1.06269825898116,1.03087257165042,0.2857313,0.1965665,0.49114906146341,0.700820277577219,-5.7470688,-6.441513,17.1093841519426,4.13634913322637,27.5830628,26.9588545,33.6952768708282,5.80476329154154,-161.6579803,-165.368149,183.133403567182,13.5326790979164,Walking
-1.4960468,-0.7328505,8.59986779750556,2.93255311929819,9.8766952,10.2646905,11.2185542863602,3.34941103574347,-1.139191,-0.5108625,6.6306772661118,2.57501014873957,0.0045049,-0.383317,2.38577923976209,1.54459678873229,-0.1892554,-0.4038155,2.45726852484084,1.5675677098106,0.0239533,-0.121632,0.62674822577681,0.791674317997502,-9.532521,-9.6177975,21.7535558711806,4.66407074037054,25.8886277,23.804909,50.4076279556976,7.09983295266146,-165.533168,-167.981537,155.997084597564,12.4898792867491,Walking
-1.8243667,-0.856077,6.89898718691941,2.62659231456262,10.0038724,9.9556145,15.405442233882,3.92497671762293,-1.0059987,-0.686238,10.4676221115086,3.23537047515561,0.2271814,0.3694415,1.83446868409964,1.35442559193912,-0.2742765,0.014032,1.84477162065985,1.35822370052206,0.2305187,0.1332465,0.53778878247141,0.733340836495152,-11.8288941,-10.527283,22.4754486981131,4.7408278494492,24.5524598,25.2070085,50.7663067994168,7.12504784541246,-165.6082809,-164.9096145,102.724727370565,10.1353207828151,Walking
-1.0816855,-1.0836755,0.89776813618585,0.947506272372827,9.4164101,9.900847,11.3037135913733,3.36209958082346,-1.818097,-1.2782795,5.3919918082148,2.32206627989272,-0.0087426,-0.0385175,1.39307602607904,1.18028641696795,-0.1327351,0.116523,1.05789096832989,1.02853826780042,0.1590639,0.2674855,0.48955407628749,0.699681410563043,-18.0619798,-16.67009,23.0708236272776,4.80320972135067,22.3151795,22.6548915,36.8736959952527,6.07237152974459,-167.9291719,-169.3214035,63.0624681854678,7.94118808400026,Walking
-1.23463,-0.5548565,7.6026669120878,2.75729340333737,10.7537961,10.0301335,19.8718815373741,4.45778886191059,-1.5701176,-2.2230915,3.42305761132184,1.85015069962472,-0.0098459,-0.1297255,2.03357233181149,1.42603377653248,0.025583,0.000344,1.8213917224632,1.3495894644162,-0.0887788,-0.213457,0.71386742302636,0.844906754042338,-24.5687072,-22.0834885,22.3796492506896,4.73071339764835,15.1624832,14.4003525,46.1054567590928,6.79009990788742,-172.8126617,-174.4652635,20.2241208592664,4.49712362063424,Walking
-1.5918147,-0.8238295,9.61383614605201,3.10061867149961,10.7403587,10.7235545,16.9253481030198,4.11404279304674,-1.624421,-1.1508625,2.754568952871,1.65968941458063,0.1950376,-0.0040425,2.04960036027364,1.43164253927915,-0.170847,0.075625,1.4095882688412,1.18726082595241,0.1343479,0.2184635,0.32966804112689,0.574167258842656,-27.3110947,-26.009979,15.619365151777,3.95213425275218,16.520012,15.7407305,31.643728000966,5.62527581554594,-168.7479979,-169.964195,25.8341440601751,5.08272998104121,Walking
-1.5832856,-0.636858,5.72126267341164,2.39191610919188,9.9091069,9.425972,18.5973480135811,4.31246426229611,-0.8186971,-0.198644,8.58657109914049,2.93028515662563,-0.1289896,-0.2385925,1.70026408703544,1.30394174986287,0.3835365,0.603154,1.86009132036465,1.3638516489577,0.0846042,0.088803,0.58092188426376,0.762182316945073,-34.9423324,-35.483215,9.52957720115525,3.08700132833714,18.6436646,18.211487,38.6333778873956,6.21557542689296,-171.6114868,-169.159294,49.4637535637038,7.03304724594566,Walking
-1.1666945,0.104597,10.175355195751,3.18988325738593,11.4944274,10.0326025,13.186429315949,3.63131234073152,-1.1541997,-0.8408885,7.66044131679921,2.76775022659185,-0.0719313,-0.2044855,1.85943698084981,1.36361174124082,0.3774026,0.621759,2.19626780429304,1.48198104046342,0.170527,0.0084735,0.4750126761856,0.689211633814752,-25.9181413,-21.2659075,138.068110026006,11.7502387220859,21.462236,22.4444045,61.4685300939266,7.84018686600814,-175.9039305,-176.7164305,46.5674767176124,6.82403668788588,Walking
-0.8681974,-0.29112,3.52565605427084,1.87767304243067,9.0839902,9.9439425,6.80082337083456,2.60783883145308,-1.6176273,-1.345766,5.85882411095541,2.42050079755314,-0.0399078,-0.3600215,2.29045938953916,1.51342637400673,-0.0163989,-0.1380295,1.40563941995529,1.1855966514609,0.1143495,0.19831,0.28687698948965,0.535608989365983,-21.6486939,-20.8714675,14.7683968014077,3.84296718713648,21.7281953,21.66346,58.2512033831996,7.63224759708434,-174.510466,-175.1985625,65.5553056397476,8.09662310100622,Walking
-1.5168316,-1.0395325,7.29571417704764,2.70105797365544,10.1412997,9.454478,23.3336508277328,4.83049177907724,-0.6044462,-0.1591395,13.9697187512374,3.73760869423718,-0.2405714,-0.633319,1.83011147420644,1.35281612727171,0.1254652,0.443099,2.85064317567596,1.68838478306219,0.0875349,-0.0045195,0.54468607847289,0.738028507899857,-26.1391707,-23.6702575,26.062837998977,5.10517756782044,22.4199903,22.726463,55.8196872432992,7.47125740711021,-174.2043931,-175.536232,54.5589752774505,7.38640475992553,Walking
-0.1470491,-0.0824505,2.23842399503749,1.49613635576357,8.9948659,9.5102925,5.57585325280809,2.36132447003966,-1.8326116,-0.799439,4.75497482169764,2.18059047546706,-0.0506198,-0.129232,1.65120449995516,1.2849920233041,-0.3304437,-0.17146,1.82797488742001,1.35202621550768,0.1483989,0.0719815,0.35635685579729,0.596956326540971,-27.2150041,-26.374077,25.3054159583377,5.03044888238989,22.2614076,20.321121,56.3302502049418,7.50534810684633,-175.9785477,-178.450356,42.2872727501154,6.50286650255988,Walking
-1.0317813,-0.6890065,3.59018016957881,1.89477707648652,9.3871557,9.605013,6.05559478065681,2.46081181333657,-1.125559,-0.8334815,5.8915573722306,2.42725305072022,-0.2953405,-0.5897895,1.35999386369345,1.16618774804636,0.2957838,0.5440505,2.93275564343116,1.71252901973402,0.1757786,-0.074373,0.46149463949724,0.679333967572092,-29.9139039,-27.9743425,38.9398702157053,6.2401819056583,19.8452774,18.326622,40.3482742307716,6.35202914278356,-176.7480866,-178.884613,33.8034597750854,5.81407428358853,Walking
-1.5352518,-0.6852655,9.79275320445276,3.12933750248399,9.914883,10.0591635,12.0499708984828,3.4713067998209,-1.5539565,-0.738686,7.23673796157925,2.69011857760569,0.0980999,-0.073761,2.58688924348049,1.60838093854674,-0.1614109,-0.037229,2.27613063251009,1.50868506737161,0.0724327,0.0522655,0.38627408140521,0.621509518354474,-31.6996948,-30.194435,30.278530869945,5.50259310415962,14.9781052,13.64212,38.4819098568112,6.20337890643568,-176.8482727,-178.507965,16.7446403043104,4.09202154250321,Walking
-0.9141213,-0.3918265,3.92913719998441,1.98220513569721,9.3139083,9.219023,9.91783260484381,3.14925905648357,-1.3087155,-0.8664015,4.04814204250725,2.01199951354548,-0.1236451,-0.6634465,1.81273596016649,1.3463788323375,0.1265828,-0.012569,1.81402644476716,1.34685798982935,0.1408309,-0.029555,0.49451529241929,0.703217812928036,-31.7642622,-29.5451505,26.6911458152587,5.16634743462524,11.1632796,9.7689055,39.5795108067618,6.2912249051168,-174.9997253,-176.4653015,15.1284660161788,3.88953287891731,Walking
-1.7934665,-1.0847975,7.89314378388785,2.80947393365517,10.746778,10.889802,16.2719923988838,4.0338557731882,-0.9895984,-0.4399345,14.4993498472802,3.80780118274054,0.1210009,0.028475,2.83327068785309,1.68323221447698,0.1560121,0.198663,2.29863381145949,1.51612460288048,0.1053486,0.0572035,0.28108308148064,0.530172690244075,-29.610846,-27.351082,33.0188603683878,5.74620399641257,11.1035827,9.9155655,45.2526904915924,6.7270120032294,-176.3301513,-177.7680965,20.3229490538669,4.50809816373456,Walking
-1.6031724,-0.608202,6.94585949530304,2.63549985682091,10.0881033,11.050662,12.6514120074152,3.55688234376894,-1.5520862,-1.109189,5.88060873209456,2.42499664579037,0.1417003,0.3595655,1.92009599247261,1.38567528392211,-0.1604513,0.2084345,1.79209181564041,1.33869033597782,0.1596767,0.1254865,0.53059506890881,0.728419569279141,-29.3234816,-28.461754,48.4756238054026,6.96244380985604,12.2735535,10.8457185,50.2213808813061,7.08670451488603,-178.2453506,-180.195076,21.970724664971,4.6872939597353,Walking
-1.4135366,-0.4453215,6.19330706296664,2.48863558259674,10.3296933,10.8168535,11.7322333097318,3.4252347816948,-1.7922096,-1.07148,3.80351525734144,1.95026030502121,0.2394981,0.2817305,1.55981251380969,1.24892454288067,-0.3088203,-0.077917,1.50832749595641,1.22813985195352,0.1960402,0.2198605,0.57568137038996,0.758736693715257,-32.90885,-30.483543,84.2016562769122,9.17614604705659,13.9268982,11.3377765,74.5850384124696,8.63626298884359,-180.6098451,-183.499962,32.6649504754654,5.71532592906698,Walking
-0.9093028,-0.0624735,4.66397688782676,2.15962424690657,9.0131668,8.5888245,10.8698114529514,3.29693971023908,-1.3227216,-1.1213845,6.58102884479144,2.56535160256668,0.0161684,-0.2653275,1.88605265132824,1.37333632127321,-0.0957673,-0.248894,1.82824178846341,1.3521249159983,0.2588328,0.1745885,0.40665199589376,0.637692712749456,-40.673767,-35.8822935,55.223143754786,7.43122760752125,13.5399964,11.611252,56.285562826943,7.50237048051768,-179.1579544,-178.19767,9.46919018808301,3.07720493111574,Walking
-1.1472416,-0.559869,4.95372297752164,2.22569606584584,10.2294959,10.257134,10.0012025302277,3.16246779117633,-1.1502343,-0.303016,8.22464356888401,2.86786393834924,0.2003552,-0.3364085,2.34095205857536,1.53001701251174,0.0991276,0.3092445,2.60517643604824,1.61405589619698,0.0387511,0.03106,0.36858684898029,0.607113538788495,-38.3098466,-37.3768235,27.8794869389468,5.28010292882126,17.2594451,17.3571165,32.0743011558271,5.66341779809923,-165.8526824,-164.5470655,16.4002246411686,4.0497190817597,Walking
-0.9363124,-0.711527,2.88495141032524,1.69851447162667,9.2175716,9.1470475,13.4771948333332,3.67112991234759,-1.2994082,-0.613589,8.40268324526536,2.89873821606322,-0.0764499,-0.4539465,2.63476915758289,1.62319720230873,0.1818454,0.095559,2.71686968775804,1.64829296175105,0.0917607,0.1370795,0.33191272679181,0.576118674225901,-21.9248521,-21.526505,5.66051012286429,2.37918265857506,10.7135695,10.779358,2.26119672312225,1.50372760935026,-156.7105056,-155.873306,11.0997136968588,3.33162328255444,Walking
-1.3019668,-0.37574,7.66707878495196,2.76894903978964,9.5947033,9.3286325,17.2719149139654,4.15594933967745,-0.1069461,-0.222287,4.49171661623049,2.11936703197688,-0.1810832,-0.4523715,2.02325490417076,1.42241165074347,0.106266,0.6581705,2.034911721547,1.42650331985138,0.1013628,0.017763,0.61949229098996,0.787078325829113,-0.3399857,3.8489915,73.1887060913508,8.55503980653222,20.4553895,20.9978945,46.1093650213299,6.79038769300618,-160.6025116,-155.967476,399.422667602991,19.9855614783021,Walking
-1.0399814,-0.2658315,4.26036732861744,2.0640657277852,10.9163178,10.6455935,9.76418156491456,3.12476904185166,-1.9911079,-1.285013,4.36536252479709,2.08934499898822,0.1434214,-0.0792675,1.83114589112444,1.35319839311331,-0.1697162,0.147652,1.81781364853856,1.34826319705707,0.2021946,0.1342945,0.55786492895924,0.746903560681859,-19.372885,-17.7884445,19.0095822427774,4.35999796362079,21.7757766,21.830635,89.1840932934266,9.44373301684385,-182.2197251,-183.263069,68.1587156120724,8.25582918985564,Walking
-1.1683104,-0.777143,4.40126244010104,2.09791859711025,9.1113888,9.411083,6.26548144545796,2.50309437406143,-1.2193071,-0.968305,7.46549178280409,2.73230521406451,0.111357,-0.449021,2.3377084265644,1.52895664639793,0.0957366,0.1562625,2.36790155702604,1.53879873831052,0.0776813,-0.043171,0.35467491778561,0.595545898974722,-26.9390794,-25.367821,32.8067541242232,5.72771805558053,20.6999986,20.058777,63.8560684829451,7.99099921680293,-178.2953872,-178.951309,44.6625367303294,6.68300357102474,Walking
-1.5425841,0.0982375,10.8560849298457,3.2948573459022,10.0714785,9.176002,12.6446239587243,3.55592800246634,-0.8403048,-0.469338,9.44961402126896,3.07402244970152,-0.2166007,-0.6966145,2.22473818202421,1.49155562485085,0.2736807,0.762673,1.58626179409641,1.25946885396043,-0.0652653,-0.099551,0.48570658342781,0.69692652656346,-27.8000412,-25.0134735,46.7186518885956,6.8351043802268,20.6176238,21.1958695,52.4275101780592,7.24068437221642,-176.8391145,-177.4487765,34.0331330022275,5.83379233451342,Walking
-1.3878889,-0.41704,8.74269558546109,2.95680496236412,9.9890732,10.6554695,13.898408399742,3.72805692013171,-1.0787675,-0.4064905,6.19869008813885,2.48971686907143,-0.2708484,-0.2121915,1.71630084600284,1.31007665653688,0.2940306,0.6765165,1.69748881454524,1.3028771294889,0.0411925,-0.077322,0.47628592446885,0.690134714725212,-26.7579697,-25.9220355,26.314717821082,5.12978730758713,17.7700577,18.180565,59.2835105973926,7.69957859868919,-176.5372253,-177.572632,51.9381079526766,7.20680983186573,Walking
-0.5134815,-0.082226,3.13784429104265,1.77139614176012,9.9305947,10.0730045,13.445122599748,3.66675914122376,-2.2038926,-1.387365,4.29896202990704,2.07339384341399,-0.1248564,-0.1633005,1.42463121279924,1.19357916067567,-0.1647715,0.018913,1.52095127689725,1.23326853397679,0.1443288,0.190674,0.39518449605816,0.628637014546678,-27.368216,-26.3106155,23.6922638476262,4.86746996371074,15.297432,13.5933,48.4311597237914,6.95924993974145,-173.6206147,-176.4948505,42.938906567339,6.55277853794396,Walking
-0.3524715,-0.0580595,2.71431116683105,1.64751666663225,8.8106623,9.729138,11.4543556694904,3.38442841104527,-1.6888698,-0.9513955,4.58939254492756,2.14228675599873,-0.1629004,-0.535704,1.58184788348424,1.25771534278796,0.0136004,0.2195985,2.21618855831544,1.48868685703725,0.2565548,0.0619395,0.56764086169176,0.753419446053631,-33.4615386,-33.1584245,33.6570161909486,5.8014667275568,14.2046814,12.811058,49.1961613620321,7.0139975307974,-172.4633026,-173.064064,9.66977092784022,3.10962552855488,Walking
-1.6563836,-1.100435,4.30472969373544,2.07478425233455,10.3126645,9.591172,17.6704282366378,4.20362084834466,-0.723423,-0.2454055,13.433368769776,3.66515603621128,-0.0511381,-0.4918925,2.91055155966209,1.70603386826349,0.0442137,0.235841,2.73904805385081,1.65500696489495,0.0115639,0.118563,0.51932315924389,0.720640797654345,-35.0463242,-33.214882,39.1802707524075,6.25941456946315,17.315413,15.5478745,54.6555186780118,7.39293708062038,-176.8227021,-179.212082,28.7271561821787,5.35977202707155,Walking
-0.9009232,-0.559944,5.40604227225336,2.3250897342368,10.0113543,11.8693295,18.7497363898692,4.33009657973921,-2.1160701,-1.186252,4.89043657619349,2.21143314983598,0.0623992,-0.133254,1.95859544842876,1.39949828453941,-0.0411226,0.1178985,1.79829550789924,1.34100540934749,0.3353278,0.372295,0.50825458780076,0.712919762526443,-31.5085481,-30.3877105,36.0350472508083,6.0029198937524,19.2366304,18.6380235,54.4714525198798,7.38047779753315,-174.9903838,-176.3838425,30.3105231713262,5.50549935712703,Walking
-0.4317343,-0.065616,3.38616299496561,1.8401529814028,9.120801,9.865383,12.102349244256,3.47884308991596,-1.2884546,-0.6922985,6.03698327815904,2.45702732548074,-0.0085718,-0.1593385,1.64007433336376,1.28065386946035,-0.0165804,-0.2585485,2.12153104169144,1.45654764484085,0.309676,0.146081,0.3990368863866,0.631693664988497,-30.7070693,-29.4628755,24.4248419724804,4.94214952955497,20.7447067,19.319893,41.6282667959378,6.45199711685753,-173.3973114,-175.305199,35.80288588222,5.98355127681045,Walking
